post_index,age,stop_word_ratio,most_common_word,word_count,unique_word_ratio,tfidf_score,sentiment_score,vader_sentiment_label,flair_sentiment_score,formality_score,formality_score_gunning_fog,punctuation_ratio,punctuation_correctness_score,grammar_error_ratio,avg_word_length,question_mark_ratio,exclamation_mark_ratio,comma_ratio,period_ratio,past_ratio,present_ratio,future_ratio,past_ratio_stanza,present_ratio_stanza,future_ratio_stanza
10,15,0.4911660777385159,Paul,288,0.5770171149144254,0.00019820682345912503,0.1139030612244898,Positive,-0.9867265224456787,0.37149999999999994,5.9,0.3784722222222222,1.0,0.13194444444444445,5.774305555555555,0.003472222222222222,0.003472222222222222,0.2013888888888889,0.1597222222222222,0.39344262295081966,0.6065573770491803,0.0,0.45454545454545453,0.5454545454545454,0.0
11,17,0.6055045871559633,always,43,0.82,8.076801403361235e-05,0.1666666666666667,Positive,0.9933173656463623,0.20330000000000004,4.37,0.16279069767441862,1.0,0.16279069767441862,5.488372093023256,0.0,0.0,0.046511627906976744,0.11627906976744186,0.16666666666666666,0.8333333333333334,0.0,0.2,0.8,0.0
12,16,0.3333333333333333,rememememeber:,24,0.7837837837837838,7.097405041270068e-05,0.375,Positive,-0.9934671521186829,0.26150000000000007,5.73,0.5416666666666666,1.0,0.4166666666666667,5.875,0.0,0.0,0.0,0.5,0.25,0.75,0.0,0.6,0.4,0.0
13,45,0.4909090909090909,gobsmacking:,28,0.8157894736842105,7.086602844201694e-05,0.39999999999999997,Positive,-0.7011301517486572,0.44090000000000007,8.51,0.32142857142857145,1.0,0.21428571428571427,5.571428571428571,0.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.0,0.5,0.5,0.0
14,23,0.5686274509803921,I'm,44,0.6231884057971014,8.54819891487647e-05,0.18813775510204084,Positive,-0.9996713399887085,0.08730000000000004,3.11,0.6136363636363636,0.9772727272727273,0.18181818181818182,4.795454545454546,0.0,0.2727272727272727,0.022727272727272728,0.3181818181818182,0.2727272727272727,0.7272727272727273,0.0,0.25,0.75,0.0
15,17,0.5083798882681564,really,88,0.7142857142857143,0.00012023609429165137,-0.0215419501133787,Positive,-0.999901533126831,0.27980000000000005,5.91,0.3068181818181818,0.9886363636363636,0.14772727272727273,5.261363636363637,0.0,0.011363636363636364,0.10227272727272728,0.18181818181818182,0.08333333333333333,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,0.0
16,23,0.14285714285714285,pie,6,1.0,3.556278972713396e-05,-0.1,Negative,-0.999393105506897,0.26150000000000007,9.07,0.0,1.0,0.3333333333333333,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,16,0.0,Millennium,9,1.0,4.14186289857569e-05,0.0,Neutral,0.999728262424469,0.7048,8.2,0.0,1.0,0.1111111111111111,6.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,25,0.46153846153846156,who's,21,0.875,6.746457386945348e-05,0.0,Negative,-0.9998199343681335,0.24329999999999996,3.58,0.5238095238095238,1.0,0.19047619047619047,5.714285714285714,0.047619047619047616,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.0,1.0,0.0,0.0,1.0,0.0
19,17,0.5714285714285714,kind,27,0.8648648648648649,6.921769037458397e-05,0.20937500000000003,Positive,-0.9994704127311707,0.26659999999999995,5.68,0.3333333333333333,1.0,0.1111111111111111,5.407407407407407,0.0,0.0,0.07407407407407407,0.2222222222222222,0.0,1.0,0.0,0.0,1.0,0.0
20,16,0.4789915966386555,get,62,0.8024691358024691,0.00010447718604897563,0.325,Positive,0.9127984046936035,0.35530000000000006,5.99,0.3709677419354839,1.0,0.06451612903225806,5.5,0.0,0.0,0.03225806451612903,0.3064516129032258,0.1111111111111111,0.8888888888888888,0.0,0.14285714285714285,0.8571428571428571,0.0
21,27,0.0,Party?!,5,1.0,3.300534474614817e-05,-0.78125,Negative,-0.9994792342185974,0.33599999999999997,2.0,1.2,1.0,0.4,5.4,0.2,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
22,23,0.47278911564625853,writing,155,0.7286432160804021,0.0001620713505391004,-0.18683965773809522,Negative,-0.9998511075973511,0.37759999999999994,7.8,0.33548387096774196,1.0,0.07096774193548387,5.774193548387097,0.0,0.01935483870967742,0.09032258064516129,0.22580645161290322,0.34375,0.65625,0.0,0.46153846153846156,0.5384615384615384,0.0
23,23,0.4673202614379085,car,163,0.7376237623762376,0.00016363020067803601,-0.03923809523809524,Positive,-0.9999947547912598,0.47340000000000004,8.25,0.19631901840490798,0.9938650306748467,0.09202453987730061,5.723926380368098,0.006134969325153374,0.0,0.0736196319018405,0.1165644171779141,0.5952380952380952,0.40476190476190477,0.0,0.6857142857142857,0.3142857142857143,0.0
24,15,0.4649122807017544,Venus,61,0.6195652173913043,9.618088183045701e-05,0.19107142857142856,Positive,-0.9895573258399963,0.10049999999999992,3.38,0.3114754098360656,1.0,0.22950819672131148,4.934426229508197,0.01639344262295082,0.0,0.09836065573770492,0.19672131147540983,0.2727272727272727,0.7272727272727273,0.0,0.375,0.625,0.0
25,23,0.4019607843137255,like,61,0.7191011235955056,0.00010653080465882228,0.20909090909090908,Positive,-0.9999833106994629,0.28790000000000004,4.11,0.5081967213114754,0.9672131147540983,0.14754098360655737,5.491803278688525,0.0,0.0,0.22950819672131148,0.26229508196721313,0.375,0.625,0.0,0.36363636363636365,0.6363636363636364,0.0
26,37,0.4304635761589404,said,258,0.61875,0.0001711915233268789,0.03791187739463601,Positive,-0.9937815070152283,0.7475,10.95,0.16666666666666666,0.9922480620155039,0.13565891472868216,6.767441860465116,0.0,0.0,0.08139534883720931,0.08139534883720931,0.6545454545454545,0.34545454545454546,0.0,0.7169811320754716,0.2830188679245283,0.0
27,23,0.43283582089552236,Boy!,228,0.5757575757575758,0.0001386527902260068,0.4452020929339478,Positive,0.9388846158981323,0.35120000000000007,6.53,0.3026315789473684,1.0,0.14912280701754385,4.942982456140351,0.0,0.14035087719298245,0.039473684210526314,0.11403508771929824,0.4230769230769231,0.5769230769230769,0.0,0.5416666666666666,0.4583333333333333,0.0
28,16,0.4397590361445783,I've,279,0.6520547945205479,0.00019618012462456857,0.15488505747126435,Positive,-0.999871015548706,0.36439999999999995,6.19,0.2616487455197133,0.982078853046595,0.12186379928315412,5.39426523297491,0.0035842293906810036,0.0035842293906810036,0.11827956989247312,0.12903225806451613,0.375,0.625,0.0,0.45,0.55,0.0
29,27,0.46,say,81,0.794392523364486,0.0001269512200818103,0.1260416666666667,Positive,-0.9999948740005493,0.6213,10.15,0.24691358024691357,1.0,0.13580246913580246,6.407407407407407,0.012345679012345678,0.0,0.04938271604938271,0.1728395061728395,0.07142857142857142,0.9285714285714286,0.0,0.1111111111111111,0.8888888888888888,0.0
30,16,0.43209876543209874,really,46,0.8166666666666667,9.686209613107476e-05,0.13857142857142857,Positive,-0.9967840909957886,0.44799999999999995,5.69,0.2391304347826087,1.0,0.15217391304347827,5.6521739130434785,0.0,0.021739130434782608,0.021739130434782608,0.1956521739130435,0.3333333333333333,0.6666666666666666,0.0,0.42857142857142855,0.5714285714285714,0.0
31,26,0.49593082400813837,good,991,0.47265625,0.0002996919309325473,0.13505195843325338,Positive,0.6283989548683167,0.20230000000000004,4.81,0.2391523713420787,0.9969727547931383,0.09687184661957618,5.247225025227044,0.0020181634712411706,0.0010090817356205853,0.11099899091826437,0.12209889001009082,0.6624472573839663,0.3333333333333333,0.004219409282700422,0.7230046948356808,0.27699530516431925,0.0
32,17,0.5384615384615384,Jim,72,0.6276595744680851,7.717154212844494e-05,-0.024999999999999994,Positive,0.9700084924697876,0.2378,6.47,0.19444444444444445,0.9861111111111112,0.05555555555555555,5.291666666666667,0.0,0.0,0.05555555555555555,0.1388888888888889,0.4,0.6,0.0,0.375,0.625,0.0
33,14,0.4894613583138173,like,218,0.601593625498008,0.00014585665415304768,0.22263257575757578,Positive,0.9692817330360413,0.06359999999999999,5.15,0.13302752293577982,0.981651376146789,0.3211009174311927,4.431192660550459,0.0,0.0045871559633027525,0.0,0.12844036697247707,0.5384615384615384,0.46153846153846156,0.0,0.6363636363636364,0.36363636363636365,0.0
34,15,0.4115138592750533,one,276,0.5807291666666666,0.0001930773661826404,0.18056472252155176,Positive,-0.9999369382858276,0.3081999999999999,6.12,0.427536231884058,0.9239130434782609,0.38405797101449274,5.278985507246377,0.007246376811594203,0.13768115942028986,0.0036231884057971015,0.27898550724637683,0.4393939393939394,0.5606060606060606,0.0,0.5087719298245614,0.49122807017543857,0.0
35,15,0.25,da,27,0.8297872340425532,7.31974577658695e-05,0.3333333333333333,Positive,-0.9998131394386292,0.26659999999999995,4.14,0.6296296296296297,0.8888888888888888,0.4074074074074074,6.444444444444445,0.0,0.07407407407407407,0.1111111111111111,0.4444444444444444,0.5,0.5,0.0,0.5,0.5,0.0
36,36,0.42424242424242425,movie,95,0.7983193277310925,0.0001254330167013137,0.038496732026143766,Positive,-0.9999638795852661,0.18909999999999993,4.58,0.22105263157894736,0.9789473684210527,0.23157894736842105,4.905263157894737,0.0,0.021052631578947368,0.05263157894736842,0.14736842105263157,0.5333333333333333,0.4666666666666667,0.0,0.42857142857142855,0.5714285714285714,0.0
37,23,0.0,Blond,7,0.9,2.873998335520347e-05,0.0,Neutral,0.9998005032539368,0.007699999999999929,2.4,0.2857142857142857,1.0,0.0,4.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,1.0,0.0
38,16,0.46062992125984253,like,137,0.7078651685393258,0.00014233900345404015,0.09566993464052288,Positive,-0.9999591112136841,0.26359999999999995,5.4,0.291970802919708,0.9635036496350365,0.18248175182481752,5.109489051094891,0.014598540145985401,0.0072992700729927005,0.051094890510948905,0.2116788321167883,0.2962962962962963,0.7037037037037037,0.0,0.3448275862068966,0.6551724137931034,0.0
39,17,0.4186046511627907,"'""I",25,0.8285714285714286,6.733251574629144e-05,0.5,Positive,-0.9830266833305359,0.19720000000000004,6.53,0.16,1.0,0.08,5.2,0.0,0.0,0.0,0.12,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0
40,37,0.4406779661016949,people,66,0.7422680412371134,0.00010968163100995785,0.25,Positive,-0.9998799562454224,0.4192,9.52,0.18181818181818182,1.0,0.06060606060606061,6.015151515151516,0.0,0.0,0.06060606060606061,0.10606060606060606,0.3076923076923077,0.6923076923076923,0.0,0.5555555555555556,0.4444444444444444,0.0
41,33,0.4642857142857143,urlLink,15,0.8333333333333334,5.103085959457538e-05,0.75,Positive,0.9998165965080261,0.2683,8.67,0.2,1.0,0.3333333333333333,4.866666666666666,0.0,0.0,0.0,0.2,0.5,0.5,0.0,0.5,0.5,0.0
42,15,0.24509803921568626,2,77,0.6423357664233577,0.00011191688111434542,0.053282828282828286,Positive,-0.9988654851913452,0.24019999999999997,2.6,1.0389610389610389,0.948051948051948,0.4155844155844156,6.675324675324675,0.0,0.0,0.0,1.0389610389610389,0.2857142857142857,0.7142857142857143,0.0,0.5,0.5,0.0
43,15,0.375,-went,165,0.695067264573991,0.00015687529759433446,-0.02203703703703704,Positive,-0.9940106272697449,0.5315,15.98,0.19393939393939394,0.9878787878787879,0.06666666666666667,5.387878787878788,0.0,0.0,0.10909090909090909,0.030303030303030304,0.3333333333333333,0.6666666666666666,0.0,0.6363636363636364,0.36363636363636365,0.0
44,16,0.5384615384615384,odd...anyone,6,0.9090909090909091,4.126847351200341e-05,0.0,Neutral,-0.9995872378349304,0.26150000000000007,2.4,1.1666666666666667,1.0,0.16666666666666666,6.333333333333333,0.16666666666666666,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
45,23,0.5643564356435643,wedding,132,0.7096774193548387,0.0001413883214938339,-0.030090909090909116,Negative,-0.999976634979248,0.37360000000000004,6.53,0.18181818181818182,0.9924242424242424,0.18181818181818182,5.628787878787879,0.0,0.007575757575757576,0.06060606060606061,0.11363636363636363,0.4,0.6,0.0,0.5333333333333333,0.4666666666666667,0.0
46,25,0.43478260869565216,not),65,0.8,0.0001112394615703311,0.02880952380952382,Negative,-0.7863901853561401,0.42090000000000005,11.76,0.16923076923076924,1.0,0.046153846153846156,5.461538461538462,0.0,0.0,0.12307692307692308,0.03076923076923077,0.4166666666666667,0.5833333333333334,0.0,0.5,0.5,0.0
47,15,0.5058823529411764,dont,42,0.711864406779661,8.785351241727745e-05,0.07619047619047617,Positive,-0.9998366832733154,0.11670000000000003,6.22,0.35714285714285715,1.0,0.23809523809523808,4.714285714285714,0.0,0.0,0.19047619047619047,0.16666666666666666,0.0,1.0,0.0,0.0,1.0,0.0
48,27,0.5,we're,142,0.6881720430107527,0.00014604954389837557,0.02321428571428571,Positive,-0.9157829284667969,0.37460000000000004,7.52,0.24647887323943662,1.0,0.13380281690140844,5.288732394366197,0.0,0.014084507042253521,0.1056338028169014,0.1267605633802817,0.16666666666666666,0.8333333333333334,0.0,0.19230769230769232,0.8076923076923077,0.0
49,33,0.38636363636363635,urlLink,27,0.8125,6.95503676772671e-05,0.15393939393939393,Positive,0.9942654967308044,0.5458000000000001,13.97,0.1111111111111111,1.0,0.18518518518518517,6.518518518518518,0.0,0.0,0.0,0.1111111111111111,0.25,0.75,0.0,0.25,0.75,0.0
50,25,0.5029126213592233,nice,256,0.6363636363636364,0.00018629691207620752,0.41435622577519376,Positive,0.9992166757583618,0.18099999999999994,3.97,0.2890625,0.984375,0.1015625,5.3984375,0.0,0.02734375,0.03515625,0.2265625,0.5892857142857143,0.4107142857142857,0.0,0.6785714285714286,0.32142857142857145,0.0
51,40,0.5024875621890548,like,100,0.7391304347826086,0.00013034894675256309,-0.019504193722943722,Positive,-0.9996379613876343,0.48150000000000004,9.65,0.25,1.0,0.08,6.19,0.0,0.07,0.12,0.05,0.44,0.56,0.0,0.43478260869565216,0.5652173913043478,0.0
52,23,0.4810126582278481,got,123,0.7207792207792207,0.00013333380318368966,0.17010869565217393,Positive,-0.8530307412147522,0.3143,6.76,0.21951219512195122,1.0,0.10569105691056911,5.414634146341464,0.0,0.008130081300813009,0.12195121951219512,0.08943089430894309,0.8333333333333334,0.16666666666666666,0.0,0.7894736842105263,0.21052631578947367,0.0
53,23,0.373134328358209,one,168,0.6694560669456067,0.00016711488856143027,0.05284914361001319,Negative,-0.9998511075973511,0.19220000000000004,4.94,0.27976190476190477,1.0,0.17857142857142858,5.589285714285714,0.011904761904761904,0.005952380952380952,0.07142857142857142,0.16666666666666666,0.20588235294117646,0.7941176470588235,0.0,0.2413793103448276,0.7586206896551724,0.0
54,27,0.40425531914893614,urlLink,28,0.8378378378378378,6.897471049191193e-05,0.4083333333333334,Positive,0.9981858134269714,0.34209999999999996,6.53,0.17857142857142858,1.0,0.17857142857142858,5.178571428571429,0.0,0.07142857142857142,0.0,0.10714285714285714,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.0
55,25,0.3333333333333333,baaaaa-aaaack!!!,6,0.7272727272727273,3.949125278493062e-05,0.0,Neutral,0.9748636484146118,0.43069999999999997,9.07,0.6666666666666666,1.0,0.16666666666666666,7.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
56,24,0.3643410852713178,1,82,0.7346938775510204,0.00010545728519945316,0.4328373015873016,Positive,0.8141631484031677,0.32409999999999994,10.15,0.18292682926829268,1.0,0.04878048780487805,4.804878048780488,0.0,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.42857142857142855,0.5714285714285714,0.0,0.0,1.0,0.0
57,14,0.47065101387406616,like,496,0.47144948755490484,0.00019846750601993027,0.12537866742488898,Positive,-0.8629352450370789,0.19720000000000004,4.42,0.39919354838709675,0.9838709677419355,0.18951612903225806,5.056451612903226,0.016129032258064516,0.05040322580645161,0.12701612903225806,0.1975806451612903,0.6442307692307693,0.3557692307692308,0.0,0.7386363636363636,0.26136363636363635,0.0
58,16,0.5490196078431373,hot,23,0.71875,5.032584736531609e-05,0.17857142857142858,Positive,0.9695959687232971,0.0,3.08,0.5652173913043478,1.0,0.21739130434782608,5.043478260869565,0.0,0.0,0.08695652173913043,0.4782608695652174,0.0,1.0,0.0,0.0,1.0,0.0
59,14,0.4461538461538462,"dreams,",36,0.7450980392156863,7.51683717222367e-05,0.15000000000000002,Positive,-0.997669517993927,0.10450000000000004,2.88,0.4444444444444444,1.0,0.16666666666666666,5.583333333333333,0.0,0.0,0.1111111111111111,0.3333333333333333,0.2,0.8,0.0,0.125,0.875,0.0
60,25,0.4090909090909091,i'm,26,0.7777777777777778,6.403817269840997e-05,0.39285714285714285,Positive,0.9933172464370728,0.031100000000000017,3.32,0.23076923076923078,1.0,0.2692307692307692,4.346153846153846,0.0,0.0,0.07692307692307693,0.11538461538461539,0.3333333333333333,0.6666666666666666,0.0,0.5,0.5,0.0
61,37,0.38333333333333336,must,37,0.8695652173913043,8.523850812714426e-05,0.2804761904761905,Negative,-0.9981064796447754,0.36039999999999994,8.37,0.24324324324324326,1.0,0.13513513513513514,5.8108108108108105,0.13513513513513514,0.0,0.02702702702702703,0.05405405405405406,0.14285714285714285,0.8571428571428571,0.0,0.25,0.75,0.0
62,27,0.47530864197530864,Manga,85,0.7327586206896551,0.00011712104819001005,0.15340909090909097,Positive,0.9998514652252197,0.36140000000000005,7.82,0.3176470588235294,1.0,0.15294117647058825,5.964705882352941,0.0,0.07058823529411765,0.08235294117647059,0.16470588235294117,0.5882352941176471,0.4117647058823529,0.0,0.6666666666666666,0.26666666666666666,0.06666666666666667
63,24,0.48344370860927155,"And,",468,0.5479041916167665,0.0002455080185919667,0.15659941249226964,Positive,-0.999072790145874,0.34920000000000007,4.83,0.4252136752136752,0.9850427350427351,0.14316239316239315,5.717948717948718,0.00641025641025641,0.010683760683760684,0.11324786324786325,0.2948717948717949,0.5727272727272728,0.42727272727272725,0.0,0.5865384615384616,0.41346153846153844,0.0
64,26,0.4696969696969697,urlLink,70,0.7906976744186046,0.00010966086616932068,0.1263888888888889,Positive,0.9998544454574585,0.36240000000000006,6.57,0.18571428571428572,0.9857142857142858,0.18571428571428572,5.628571428571429,0.014285714285714285,0.04285714285714286,0.05714285714285714,0.07142857142857142,0.6875,0.3125,0.0,0.7857142857142857,0.21428571428571427,0.0
65,23,0.3793103448275862,30th.,18,0.8695652173913043,5.740754931138607e-05,-0.1875,Positive,-0.9937315583229065,0.16170000000000007,6.24,0.2222222222222222,1.0,0.16666666666666666,5.5,0.05555555555555555,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0
66,15,0.37349397590361444,got,52,0.7808219178082192,9.478088442261567e-05,0.4,Positive,-0.9999511241912842,0.22160000000000002,6.47,0.6346153846153846,1.0,0.21153846153846154,5.3076923076923075,0.0,0.038461538461538464,0.15384615384615385,0.38461538461538464,0.9,0.1,0.0,0.8888888888888888,0.1111111111111111,0.0
67,35,0.28695652173913044,Rode,82,0.7727272727272727,0.00011697977368557159,0.18333333333333332,Positive,0.9967457056045532,0.08519999999999994,2.62,0.4268292682926829,0.9390243902439024,0.21951219512195122,4.573170731707317,0.0,0.036585365853658534,0.0,0.3780487804878049,0.6666666666666666,0.3333333333333333,0.0,0.7272727272727273,0.2727272727272727,0.0
68,23,0.44755244755244755,passing,79,0.7849462365591398,0.00010998136488598341,-0.0038277511961722515,Negative,-0.9998778104782104,0.784,14.42,0.16455696202531644,1.0,0.06329113924050633,6.455696202531645,0.0,0.0,0.06329113924050633,0.06329113924050633,0.5384615384615384,0.46153846153846156,0.0,0.5384615384615384,0.46153846153846156,0.0
69,17,0.5340909090909091,went,41,0.7692307692307693,7.90300110976133e-05,0.044444444444444446,Positive,-0.9873766899108887,0.47439999999999993,9.0,0.17073170731707318,1.0,0.04878048780487805,6.024390243902439,0.0,0.0,0.07317073170731707,0.0975609756097561,0.5833333333333334,0.4166666666666667,0.0,0.7272727272727273,0.2727272727272727,0.0
70,23,0.2777777777777778,Whatever,13,1.0,4.951233315702792e-05,0.35,Positive,-0.9962194561958313,0.248,8.28,0.38461538461538464,1.0,0.15384615384615385,5.230769230769231,0.07692307692307693,0.0,0.0,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0
71,24,0.4166666666666667,spelling,7,1.0,3.7282958781648394e-05,0.0,Positive,-0.9961125254631042,0.44090000000000007,8.51,0.42857142857142855,1.0,0.2857142857142857,6.428571428571429,0.0,0.0,0.0,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0
72,23,0.4666666666666667,upon,32,0.8205128205128205,7.386644736506585e-05,0.2993265993265994,Positive,-0.9900524020195007,0.9553,15.15,0.15625,1.0,0.0625,6.9375,0.0,0.0,0.09375,0.0625,0.25,0.75,0.0,0.2857142857142857,0.7142857142857143,0.0
73,27,0.45496535796766746,...,472,0.5796178343949044,0.0002477834171717314,0.1408324181043042,Positive,-0.9990099668502808,0.28390000000000004,6.74,0.4025423728813559,0.9809322033898306,0.10805084745762712,5.459745762711864,0.0,0.07627118644067797,0.08686440677966102,0.2288135593220339,0.3977272727272727,0.6022727272727273,0.0,0.4358974358974359,0.5641025641025641,0.0
74,35,0.5238095238095238,bag,100,0.7723577235772358,0.0001253844393331862,-0.07870179063360881,Negative,-0.9999538660049438,0.19930000000000003,6.14,0.2,0.98,0.15,5.43,0.0,0.01,0.06,0.13,0.5555555555555556,0.4444444444444444,0.0,0.5882352941176471,0.4117647058823529,0.0
75,15,0.4838709677419355,dont,96,0.656934306569343,0.00012339592460356588,0.05286549707602339,Positive,-0.9991249442100525,0.09230000000000005,4.07,0.34375,0.96875,0.3020833333333333,4.822916666666667,0.0,0.0,0.11458333333333333,0.22916666666666666,0.09523809523809523,0.9047619047619048,0.0,0.13333333333333333,0.8666666666666667,0.0
76,24,0.4298245614035088,"----therefore,",130,0.6137566137566137,0.00012615393726473443,0.1753693181818182,Positive,-0.9998030066490173,0.474,11.75,0.23846153846153847,1.0,0.06153846153846154,5.7153846153846155,0.007692307692307693,0.015384615384615385,0.12307692307692308,0.09230769230769231,0.14814814814814814,0.8518518518518519,0.0,0.2,0.8,0.0
77,45,0.44734473447344736,new,614,0.5528255528255528,0.0002484485327840059,0.1473602786102786,Positive,-0.9999798536300659,0.46930000000000005,8.35,0.26221498371335505,0.990228013029316,0.20521172638436483,5.988599348534202,0.003257328990228013,0.006514657980456026,0.10586319218241043,0.11889250814332247,0.514018691588785,0.48598130841121495,0.0,0.5729166666666666,0.4270833333333333,0.0
78,26,0.35135135135135137,template!,24,0.7692307692307693,6.049929413042679e-05,0.1075,Negative,-0.9999511241912842,0.0,1.92,0.7916666666666666,0.9583333333333334,0.125,4.791666666666667,0.125,0.125,0.0,0.5416666666666666,0.5,0.5,0.0,0.6,0.4,0.0
79,23,0.49008498583569404,even,540,0.5086782376502003,0.0002455214134757307,-0.010997932036664425,Negative,-0.9999847412109375,0.3103,6.62,0.27037037037037037,0.9981481481481481,0.07407407407407407,5.618518518518519,0.024074074074074074,0.001851851851851852,0.16296296296296298,0.08148148148148149,0.3761467889908257,0.6146788990825688,0.009174311926605505,0.4367816091954023,0.5517241379310345,0.011494252873563218
80,24,0.41025641025641024,urlLink,23,0.7741935483870968,6.813295176619151e-05,0.17045454545454544,Positive,-0.9999885559082031,0.5285,10.19,0.30434782608695654,0.9565217391304348,0.21739130434782608,6.478260869565218,0.0,0.043478260869565216,0.17391304347826086,0.08695652173913043,0.5,0.5,0.0,0.0,1.0,0.0
81,48,0.4725609756097561,proposed,173,0.6605504587155964,0.00015159544120543585,0.06041666666666667,Positive,-0.9987483024597168,0.824,12.75,0.1791907514450867,1.0,0.06936416184971098,6.861271676300578,0.017341040462427744,0.0,0.09248554913294797,0.06936416184971098,0.6764705882352942,0.3235294117647059,0.0,0.6571428571428571,0.34285714285714286,0.0
